,Date,Open,High,Low,Close,Adj Close,Volume,weekday,shift_close
540,1/8/19,68.391998,68.802002,65.403999,67.07,67.07,35042500,1,66.991997
541,1/9/19,67.099998,68.699997,66.293999,67.706001,67.706001,27164500,2,67.07
542,1/10/19,66.879997,69.078003,66.358002,68.994003,68.994003,30282000,3,67.706001
543,1/11/19,68.417999,69.681999,67.753998,69.452003,69.452003,25195500,4,68.994003
544,1/14/19,68.475998,68.5,66.800003,66.879997,66.879997,26236500,0,69.452003
545,1/15/19,67,69.760002,66.900002,68.886002,68.886002,30283000,1,66.879997
546,1/16/19,68.956001,70.400002,68.699997,69.209999,69.209999,23458500,2,68.886002
547,1/17/19,69.241997,70.300003,68.830002,69.461998,69.461998,18383500,3,69.209999
548,1/18/19,64.599998,65.426003,59.945999,60.452,60.452,120754000,4,69.461998
549,1/22/19,60.964001,61.599998,59.099998,59.784,59.784,60333500,1,60.452
550,1/23/19,58.5,58.900002,56.338001,57.518002,57.518002,62650000,2,59.784
551,1/24/19,56.605999,58.736,55.855999,58.301998,58.301998,40061000,3,57.518002
552,1/25/19,58.877998,59.703999,57.91,59.408001,59.408001,36248000,4,58.301998
553,1/28/19,58.582001,59.492001,57.549999,59.276001,59.276001,32116500,0,59.408001
554,1/29/19,59.054001,59.712002,58.360001,59.492001,59.492001,23108500,1,59.276001
555,1/30/19,60.09,61.799999,59.698002,61.754002,61.754002,56251500,2,59.492001
556,1/31/19,60.200001,62.312,58.799999,61.403999,61.403999,62846000,3,61.754002
557,2/1/19,61.084,63.220001,60.700001,62.442001,62.442001,36417000,4,61.403999
558,2/4/19,62.596001,63.060001,60.375999,62.577999,62.577999,36760500,0,62.442001
559,2/5/19,62.498001,64.487999,62.450001,64.269997,64.269997,33714000,1,62.577999
560,2/6/19,63.917999,64.848,63.124001,63.444,63.444,25192500,2,64.269997
561,2/7/19,62.66,62.939999,60.599998,61.501999,61.501999,32603000,3,63.444
562,2/8/19,61.366001,61.490002,59.700001,61.16,61.16,29221000,4,61.501999
563,2/11/19,62.32,63.720001,62.099998,62.568001,62.568001,35648500,0,61.16
564,2/12/19,63.240002,63.638,61.924,62.362,62.362,27588000,1,62.568001
565,2/13/19,62.470001,62.549999,61.113998,61.633999,61.633999,25708000,2,62.362
566,2/14/19,60.675999,61.354,60.200001,60.754002,60.754002,26004000,3,61.633999
567,2/15/19,60.900002,61.599998,60.779999,61.576,61.576,19524500,4,60.754002
568,2/19/19,61.312,62.307999,61.094002,61.127998,61.127998,20842000,1,61.576
569,2/20/19,60.882,61.259998,59.799999,60.512001,60.512001,35710500,2,61.127998
570,2/21/19,60.362,60.647999,58.099998,58.245998,58.245998,44546000,3,60.512001
571,2/22/19,58.897999,59.299999,58.419998,58.942001,58.942001,28703000,4,58.245998
572,2/25/19,59.582001,60.580002,59.400002,59.754002,59.754002,33132500,0,58.942001
573,2/26/19,58.444,60.402,57.754002,59.571999,59.571999,42912500,1,59.754002
574,2/27/19,60.355999,63.259998,60.110001,62.948002,62.948002,55919500,2,59.571999
575,2/28/19,63.784,64,62.161999,63.976002,63.976002,52603500,3,62.948002
576,3/1/19,61.388,61.425999,58.380001,58.958,58.958,114557000,4,63.976002
577,3/4/19,59.624001,59.799999,56.556,57.071999,57.071999,85484000,0,58.958
578,3/5/19,56.400002,56.799999,54.02,55.307999,55.307999,93823500,1,57.071999
579,3/6/19,55.296001,56.301998,54.877998,55.248001,55.248001,51677500,2,55.307999
580,3/7/19,55.768002,56.939999,54.849998,55.318001,55.318001,47212500,3,55.248001
581,3/8/19,55.382,57.118,55.178001,56.827999,56.827999,44098000,4,55.318001
582,3/11/19,56.703999,58.256001,56.099998,58.183998,58.183998,36961500,0,56.827999
583,3/12/19,57.298,57.613998,56.212002,56.672001,56.672001,37520500,1,58.183998
584,3/13/19,56.779999,58.397999,56.540001,57.792,57.792,34223500,2,56.672001
585,3/14/19,58.490002,59.077999,57.658001,57.992001,57.992001,35517000,3,57.792
586,3/15/19,56.702,56.743999,54.880001,55.085999,55.085999,73927500,4,57.992001
587,3/18/19,55.200001,55.610001,53.459999,53.897999,53.897999,51405000,0,55.085999
588,3/19/19,53.5,54.66,52.692001,53.493999,53.493999,59003000,1,53.897999
589,3/20/19,53.938,54.993999,53.259998,54.720001,54.720001,34541000,2,53.493999
590,3/21/19,54.52,55.290001,53.689999,54.804001,54.804001,29735500,3,54.720001
591,3/22/19,54.515999,54.560001,52.799999,52.905998,52.905998,43728000,4,54.804001
592,3/25/19,51.942001,52.636002,50.891998,52.084,52.084,51075000,0,52.905998
593,3/26/19,52.888,54.051998,52.886002,53.554001,53.554001,36754500,1,52.084
594,3/27/19,53.75,55.074001,53.636002,54.966,54.966,43896000,2,53.554001
595,3/28/19,55.431999,56.066002,55.02,55.723999,55.723999,33870500,3,54.966
596,3/29/19,55.740002,56.032001,54.900002,55.972,55.972,29956500,4,55.723999
597,4/1/19,56.523998,57.84,56.256001,57.835999,57.835999,40552000,0,55.972
598,4/2/19,57.66,57.888,56.776001,57.175999,57.175999,27394500,1,57.835999
599,4/3/19,57.464001,59.234001,57.433998,58.362,58.362,39597000,2,57.175999
600,4/4/19,52.377998,54.240002,52.118,53.556,53.556,118603500,3,58.362
601,4/5/19,53.972,55.220001,53.222,54.992001,54.992001,65191500,4,53.556
