candle_begin_time,open,high,low,close,volume,signal,pos,equity_change,equity_curve
2018/9/15 3:00,212.39,214.08,210.66,213.96,14852.06776,,1,0.017359333,2515.161388
2018/9/15 4:00,213.96,217.44,212.53,215.49,14679.72942,,1,0.016316617,2556.200313
2018/9/15 5:00,215.49,216.693233,211.81,212.52,7729.069948,,1,-0.031164927,2476.536517
2018/9/15 6:00,212.54,213.43,209.95,212.42,11213.39647,,1,-0.001083078,2473.854234
2018/9/15 7:00,212.42,215.72,211.6,213.97,12910.76228,,1,0.016805914,2515.429616
2018/9/15 8:00,213.97,218.15,213.96,215.85,26823.11525,,1,0.020047038,2565.85653
2018/9/15 9:00,215.86,219.3,215.86,218.17,11439.14174,,1,0.024252704,2628.085488
2018/9/15 10:00,218.17,221.2,215.85,216.22,17956.84763,,1,-0.019902135,2575.780976
2018/9/15 11:00,216.23,217.08,214.25,217.08,8713.087089,,1,0.008955587,2598.848607
2018/9/15 12:00,217.07,219.37,216.1,218.1591845,18405.32881,,1,0.011138309,2627.795387
2018/9/15 13:00,218.21,224,218.14,222.1141649,70338.85724,,1,0.040369868,2733.87914
2018/9/15 14:00,222.34,228.08,221.87,224.83,65160.86348,,1,0.026645792,2806.725515
2018/9/15 15:00,224.82,226.0357654,221.78,223.82,21512.57065,,1,-0.009652193,2779.63446
2018/9/15 16:00,223.813569,226.99,222.63,225.49,12815.87459,,1,0.016115112,2824.42858
2018/9/15 17:00,225.47,227.39,222.98,227.23,32049.43285,,1,0.016524305,2871.100299
2018/9/15 18:00,227.22,227.2341226,222,223.35,15137.31349,,1,-0.036248322,2767.027731
2018/9/15 19:00,223.35,224.71,222,224.1,10259.0643,,1,0.007270299,2787.144851
2018/9/15 20:00,224.09,224.3,222.21,223.7,7146.821695,,1,-0.003849506,2776.41572
2018/9/15 21:00,223.68,223.88,218.322068,220.69,21045.76454,,1,-0.029079474,2695.679012
2018/9/15 22:00,220.7,223.56,220.58,221.48,6946.341179,,1,0.00786074,2716.869045
2018/9/15 23:00,221.46,223.48,221.46,221.48,2630.537493,,1,0,2716.869045
2018/9/16 0:00,221.48,222.4354358,219.69,220.96,9538.245429,,1,-0.005133803,2702.921175
2018/9/16 1:00,220.95,221.73,217.34,218.92,11063.28391,,1,-0.020244233,2648.202608
2018/9/16 2:00,218.9103807,219,216,218.01,9009.509597,,1,-0.009217109,2623.793836
2018/9/16 3:00,218.01,218.58,212,214.65,27428.04759,,1,-0.034349001,2533.669138
2018/9/16 4:00,214.65,215.53,203,215.11,133443.6197,,1,0.004869815,2546.007638
2018/9/16 5:00,215.12,216.78,212.88,216.12,23207.95987,,1,0.010640602,2573.098693
2018/9/16 6:00,216.11,216.12,213.99,214.22,10445.53391,,1,-0.019806225,2522.135323
2018/9/16 7:00,214.23,214.92,212.88,213.98,6450.087559,,1,-0.002552392,2515.697844
2018/9/16 8:00,213.97,218.29,213.19,217.24,14312.67778,,1,0.034758711,2603.140259
2018/9/16 9:00,217.24,219.16,216.32,217.68,9353.349152,,1,0.004533772,2614.942303
2018/9/16 10:00,217.68,221.15,217.09,220.57,12092.58069,,1,0.029644237,2692.460273
2018/9/16 11:00,220.5442644,221,218.4,219.23,6511.604023,,1,-0.013349348,2656.517685
2018/9/16 12:00,219.25,220.01,217.52,219.69,5111.456103,,1,0.004644614,2668.856185
2018/9/16 13:00,219.5,220.33,215.61,216.54,8275.091843,,1,-0.03165847,2584.364281
2018/9/16 14:00,216.56,217.52,215.01,217.33,12131.03252,,1,0.008199321,2605.554314
2018/9/16 15:00,217.32,217.68,215.6,217.64,4416.735272,,1,0.003191289,2613.86939
2018/9/16 16:00,217.64,219.04,217.64,218.49,4699.041314,,1,0.008722472,2636.668793
2018/9/16 17:00,218.49,218.94,215.08,218.17,14317.55751,,1,-0.003255359,2628.085488
2018/9/16 18:00,218.18,219.99,218.13,218.21,5985.957714,,1,0.000408249,2629.158401
2018/9/16 19:00,218.22,223.09,218.22,222.24,16930.96359,,1,0.041114294,2737.254393
2018/9/16 20:00,222.24,223.7,221.42,221.71,10841.73451,,1,-0.005193561,2723.038295
2018/9/16 21:00,221.71,222.3311641,219.28,219.76,8026.877648,,1,-0.019208144,2670.733783
2018/9/16 22:00,219.77,220.33,218.5,219.53,7394.90229,,1,-0.002309946,2664.564533
2018/9/16 23:00,219.53,221.14,219.32,220.16,5107.836968,,1,0.006341892,2681.462914
2018/9/17 0:00,220.18,226.77,220.18,223.892683,34400.00665,,1,0.037338242,2781.584024
2018/9/17 1:00,223.82,224.22,221.72,222.9,10862.45491,,1,-0.009572447,2754.957459
2018/9/17 2:00,222.92,223.55,221.68,223.3,5303.877829,,1,0.003894481,2765.68659
